,url
0,https://www.yelp.com/biz/the-stand-san-juan-capistrano-6?osq=Restaurants
1,https://www.yelp.com/biz/sunday-champagne-brunch-los-angeles?osq=Restaurants
2,https://www.yelp.com/biz/ralphs-los-angeles-78?osq=Restaurants
3,https://www.yelp.com/biz/bella-luna-pizza-los-angeles-3?osq=Restaurants
4,https://www.yelp.com/biz/cambridge-farms-valley-village?osq=Restaurants
5,https://www.yelp.com/biz/barts-cart-cuttyhunk?osq=Restaurants
6,https://www.yelp.com/biz/honey-baked-ham-company-tustin-tustin?osq=Restaurants
7,https://www.yelp.com/biz/el-rancherito-van-nuys?osq=Restaurants
8,https://www.yelp.com/biz/angelinos-donuts-los-angeles?osq=Restaurants
9,https://www.yelp.com/biz/the-original-hawowshi-los-angeles-3?osq=Restaurants
10,https://www.yelp.com/biz/michelagua-queen-los-angeles?osq=Restaurants
11,https://www.yelp.com/biz/guy-fieris-flavortown-kitchen-pasadena?osq=Restaurants
12,https://www.yelp.com/biz/lets-roll-sushi-los-angeles-4?osq=Restaurants
13,https://www.yelp.com/biz/tortilleria-flor-de-mexicali-santa-ana-2?osq=Restaurants
14,https://www.yelp.com/biz/el-cimarron-barbacoa-consome-y-pancita-santa-ana?osq=Restaurants
15,https://www.yelp.com/biz/jaime-s-tacos-estilo-pachuca-hidalgo-los-angeles?osq=Restaurants
16,https://www.yelp.com/biz/la-halal-bites-los-angeles?osq=Restaurants
17,https://www.yelp.com/biz/escuela-taqueria-los-angeles-4?osq=Restaurants
18,https://www.yelp.com/biz/andale-mis-amigos-los-angeles?osq=Restaurants
19,https://www.yelp.com/biz/bon-appetea-cafe-alhambra-alhambra?osq=Restaurants
20,https://www.yelp.com/biz/la-crepes-los-angeles?osq=Restaurants
21,https://www.yelp.com/biz/carniceria-la-flama-los-angeles-2?osq=Restaurants
22,https://www.yelp.com/biz/chill-studio-city?osq=Restaurants
23,https://www.yelp.com/biz/mels-diner-universal-city?osq=Restaurants
24,https://www.yelp.com/biz/88-hotdog-and-juicy-los-angeles-5?osq=Restaurants
25,https://www.yelp.com/biz/bent-soul-food-and-bent-events-los-angeles?osq=Restaurants
26,https://www.yelp.com/biz/phoenix-caf%C3%A9-bell-gardens-5?osq=Restaurants
27,https://www.yelp.com/biz/js-mart-cafe-los-angeles-5?osq=Restaurants
28,https://www.yelp.com/biz/palazzolos-gelato-truck-los-angeles?osq=Restaurants
29,https://www.yelp.com/biz/la-brea-seafood-inglewood-2?osq=Restaurants
30,https://www.yelp.com/biz/uptown-provisions-whittier?osq=Restaurants
31,https://www.yelp.com/biz/adams-supper-market-glendale?osq=Restaurants
32,https://www.yelp.com/biz/alhara-halal-meat-anaheim-2?osq=Restaurants
33,https://www.yelp.com/biz/hard-times-pizza-los-angeles-2?osq=Restaurants
34,https://www.yelp.com/biz/alo-asian-kitchen-laguna-niguel?osq=Restaurants
35,https://www.yelp.com/biz/tainos-l-a-canoga-park-2?osq=Restaurants
36,https://www.yelp.com/biz/tacos-las-palomos-los-angeles?osq=Restaurants
37,https://www.yelp.com/biz/k5-pho-and-rolls-los-angeles?osq=Restaurants
38,https://www.yelp.com/biz/bear-flag-fish-company-huntington-beach-2?osq=Restaurants
39,https://www.yelp.com/biz/caf%C3%A9-ora-los-angeles?osq=Restaurants
40,https://www.yelp.com/biz/tacos-dona-tota-gardena?osq=Restaurants
41,https://www.yelp.com/biz/los-juanes-meat-market-los-angeles?osq=Restaurants
42,https://www.yelp.com/biz/dipwell-vegan-ice-cream-pasadena?osq=Restaurants
43,https://www.yelp.com/biz/pink-elephant-venice-los-angeles-2?osq=Restaurants
44,https://www.yelp.com/biz/the-burger-den-burbank-2?osq=Restaurants
45,https://www.yelp.com/biz/acai-republic-wilshire-los-angeles?osq=Restaurants
46,https://www.yelp.com/biz/fruta-fresca-los-angeles-4?osq=Restaurants
47,https://www.yelp.com/biz/bobbys-mexican-grill-los-angeles?osq=Restaurants
48,https://www.yelp.com/biz/mealsdotkom-long-beach-4?osq=Restaurants
49,https://www.yelp.com/biz/galitos-hollywood-los-angeles?osq=Restaurants
50,https://www.yelp.com/biz/gelsons-thousand-oaks-4?osq=Restaurants
51,https://www.yelp.com/biz/rosewood-barber-cafe-anaheim-2?osq=Restaurants
52,https://www.yelp.com/biz/p-za-kitchen-thousand-oaks?osq=Restaurants
53,https://www.yelp.com/biz/the-peruvian-guy-los-angeles-4?osq=Restaurants
54,https://www.yelp.com/biz/good-neighbor-restaurant-studio-city-2?osq=Restaurants
55,https://www.yelp.com/biz/jaydes-market-los-angeles?osq=Restaurants
56,https://www.yelp.com/biz/zacks-salt-creek-dana-point?osq=Restaurants
57,https://www.yelp.com/biz/daves-hot-chicken-los-angeles-9?osq=Restaurants
58,https://www.yelp.com/biz/h-mart-diamond-bar-diamond-bar?osq=Restaurants
59,https://www.yelp.com/biz/eat-fantastic-arcadia-arcadia?osq=Restaurants
60,https://www.yelp.com/biz/la-perla-tapatia-meat-market-los-angeles?osq=Restaurants
61,https://www.yelp.com/biz/bollywood-bites-los-angeles-3?osq=Restaurants
62,https://www.yelp.com/biz/moonbowls-culver-city?osq=Restaurants
63,https://www.yelp.com/biz/old-world-delicatessens-upland?osq=Restaurants
64,https://www.yelp.com/biz/herbies-cuisine-filipino-fiesta-covina?osq=Restaurants
65,https://www.yelp.com/biz/tyga-bites-sylmar?osq=Restaurants
66,https://www.yelp.com/biz/coco-d-s-reseda?osq=Restaurants
67,https://www.yelp.com/biz/tacos-los-tapatios-los-angeles?osq=Restaurants
68,https://www.yelp.com/biz/kpb-asian-bistro-fullerton?osq=Restaurants
69,https://www.yelp.com/biz/pucker-up-lemonade-company-compton?osq=Restaurants
70,https://www.yelp.com/biz/slauson-street-food-windsor-hills?osq=Restaurants
71,https://www.yelp.com/biz/buddha-belly-los-angeles-4?osq=Restaurants
72,https://www.yelp.com/biz/bobs-chicken-and-waffles-sherman-oaks?osq=Restaurants
73,https://www.yelp.com/biz/courtyard-cafe-glendale-2?osq=Restaurants
74,https://www.yelp.com/biz/best-donuts-and-ice-cream-north-hills?osq=Restaurants
75,https://www.yelp.com/biz/whata-peach-studio-city?osq=Restaurants
76,https://www.yelp.com/biz/cjs-wings-los-angeles?osq=Restaurants
77,https://www.yelp.com/biz/huejucar-meat-market-pico-rivera?osq=Restaurants
78,https://www.yelp.com/biz/502-teppanyaki-on-wheels-los-angeles?osq=Restaurants
