url,name,address,score,review_counts,price,category,open_time,amenities
https://www.yelp.com/biz/gabys-mediterranean-marina-del-rey-2?osq=Restaurants,Gaby's Mediterranean,"3216 Washington Blvd Marina del Rey, CA 90292",3.5 star rating,165 reviews,$,"Middle Eastern, Mediterranean, American (Traditional)","Mon
11:00 AM - 11:00 PM
Tue
11:00 AM - 11:00 PM
Wed
11:00 AM - 11:00 PM
Thu
11:00 AM - 11:00 PM
Closed now
Fri
11:00 AM - 11:00 PM
Sat
11:00 AM - 10:00 PM
Sun
11:00 AM - 10:00 PM","Amenities and More
Takes Reservations
Offers Delivery
Offers Takeout
Masks required
Staff wears masks
Vegan Options
Many Vegetarian Options
Accepts Credit Cards
Outdoor Seating
Casual, Classy
Quiet
Casual Dress
Offers Catering
Good for Groups
Good For Kids
Good for Lunch, Dinner
Private Lot Parking
Waiter Service
Free Wi-Fi
Dogs Allowed
Wheelchair Accessible
TV
No Happy Hour
No Alcohol
Bike Parking
Show Less"
https://www.yelp.com/biz/canters-deli-los-angeles-5?osq=Restaurants,Canter's Deli,"419 N Fairfax Ave Los Angeles, CA 90036",3.5 star rating,4271 reviews,$$,"Bakeries, Delis, Breakfast & Brunch","Mon
Open 24 hours
Tue
Open 24 hours
Wed
Open 24 hours
Thu
Open 24 hours
Open now
Fri
Open 24 hours
Sat
Open 24 hours
Sun
Open 24 hours","Amenities and More
Offers Delivery
Offers Takeout
No Reservations
Masks required
Staff wears masks
Gluten-Free Options
Vegan Options
Accepts Credit Cards
Accepts Android Pay
Accepts Apple Pay
Classy, Casual
Moderate Noise
Offers Catering
Good for Groups
Good For Kids
Good for Breakfast, Brunch, Lunch, Dinner, Late Night, Dessert
Street Parking, Private Lot Parking
Waiter Service
Free Wi-Fi
Full Bar
Wheelchair Accessible
TV
Dogs Not Allowed
Bike Parking
Compostable containers available
Plastic-free packaging
Provides reusable tableware
Show Less"
https://www.yelp.com/biz/the-vegan-joint-los-angeles-2?osq=Restaurants,The Vegan Joint,"10438 National Blvd Los Angeles, CA 90034",4 star rating,936 reviews,$$,Vegan,"Mon
9:00 AM - 9:00 PM
Tue
9:00 AM - 9:00 PM
Wed
9:00 AM - 9:00 PM
Thu
9:00 AM - 9:00 PM
Closed now
Fri
9:00 AM - 9:00 PM
Sat
9:00 AM - 9:00 PM
Sun
9:00 AM - 9:00 PM","Amenities and More
Health ScoreA
Offers Delivery
Offers Takeout
No Reservations
Staff wears masks
Vegan Options
Many Vegetarian Options
Accepts Credit Cards
Accepts Android Pay
Accepts Apple Pay
Outdoor Seating
Casual, Classy
Quiet
Offers Catering
Good for Groups
Good For Kids
Good for Lunch, Dinner
Street Parking
Free Wi-Fi
Dogs Allowed
Gender-neutral restrooms
No Happy Hour
No Alcohol
No TV
Bike Parking
Provides reusable tableware
Show Less"
https://www.yelp.com/biz/shawerma-hub-2-west-hollywood?osq=Restaurants,Shawerma Hub 2,"8020 Santa Monica Blvd West Hollywood, CA 90046",,,,"Food Trucks, Middle Eastern, Mediterranean",,"Amenities and More
Offers Takeout
Masks required
Staff wears masks
No Outdoor Seating"
https://www.yelp.com/biz/hey-batter-batter-los-angeles?osq=Restaurants,Hey Batter Batter,,5 star rating,1 review,,"Food Trucks, Waffles, Desserts",,
https://www.yelp.com/biz/friends-and-family-los-angeles?osq=Restaurants,Friends & Family,"5150 Hollywood Blvd Los Angeles, CA 90027",4 star rating,230 reviews,$$,"Bakeries, Breakfast & Brunch, American (New)","Mon
8:00 AM - 2:00 PM
Tue
8:00 AM - 2:00 PM
Wed
8:00 AM - 2:00 PM
Thu
8:00 AM - 2:00 PM
Closed now
Fri
8:00 AM - 2:00 PM
Sat
8:00 AM - 3:00 PM
Sun
8:00 AM - 3:00 PM","Amenities and More
Health ScoreA
Takes Reservations
Offers Delivery
Offers Takeout
Staff wears masks
Vegan Options
Many Vegetarian Options
Accepts Credit Cards
Accepts Android Pay
Accepts Apple Pay
Hipster, Casual
Moderate Noise
Offers Catering
Good for Groups
Good for Brunch, Lunch
Street Parking
Free Wi-Fi
Beer & Wine Only
Wheelchair Accessible
TV
No Outdoor Seating
Not Good For Kids
Bike Parking
Show Less"
https://www.yelp.com/biz/bivrit-los-angeles-2?osq=Restaurants,B'ivrit,,4.5 star rating,20 reviews,,"Middle Eastern, Food Stands, Vegan","Mon
5:00 PM - 9:00 PM
Tue
5:00 PM - 9:00 PM
Wed
5:00 PM - 9:00 PM
Thu
5:00 PM - 9:00 PM
Closed now
Fri
5:00 PM - 9:00 PM
Sat
5:00 PM - 9:00 PM
Sun
5:00 PM - 9:00 PM","Amenities and More
Offers Delivery
Offers Takeout
Vegan Options
Accepts Credit Cards
Offers Catering
Wheelchair Accessible
Women-owned
Open to All
No Waiter Service
No TV
Bike Parking
Show Less"
https://www.yelp.com/biz/go-greek-yogurt-beverly-hills?osq=Restaurants,Go Greek Yogurt,"452 N Bedford Dr Beverly Hills, CA 90210",4.5 star rating,526 reviews,$$,"Ice Cream & Frozen Yogurt, Desserts, Breakfast & Brunch","Mon
9:00 AM - 10:00 PM
Tue
9:00 AM - 10:00 PM
Wed
9:00 AM - 11:00 PM
Thu
9:00 AM - 11:00 PM
Closed now
Fri
9:00 AM - 11:00 PM
Sat
9:00 AM - 11:00 PM
Sun
9:00 AM - 11:00 PM","Amenities and More
Health ScoreA
Offers Delivery
Offers Takeout
No Reservations
Staff wears masks
Dairy-Free Options
Vegan Options
Masks required
Accepts Credit Cards
Accepts Android Pay
Accepts Apple Pay
Outdoor Seating
Classy
Moderate Noise
Offers Catering
Good For Kids
Garage Parking, Street Parking
Free Wi-Fi
Dogs Allowed
Wheelchair Accessible
Gender-neutral restrooms
Not Good For Groups
No Waiter Service
No Happy Hour
No Alcohol
No Drive-Thru
No TV
No Bike Parking
Show Less"
https://www.yelp.com/biz/flame-persian-cuisine-los-angeles?osq=Restaurants,Flame Persian Cuisine,"1442 Westwood Blvd Los Angeles, CA 90024",3.5 star rating,479 reviews,$$,"Middle Eastern, Persian/Iranian","Mon
11:00 AM - 11:00 PM
Tue
11:00 AM - 11:00 PM
Wed
11:00 AM - 11:00 PM
Thu
11:00 AM - 11:00 PM
Closed now
Fri
11:00 AM - 11:00 PM
Sat
11:00 AM - 11:00 PM
Sun
11:00 AM - 11:00 PM","Amenities and More
Health ScoreA
Takes Reservations
Offers Delivery
Offers Takeout
Staff wears masks
Vegan Options
Many Vegetarian Options
Accepts Credit Cards
Accepts Apple Pay
Classy, Casual
Moderate Noise
Casual Dress
Offers Catering
Good for Groups
Good For Kids
Good for Lunch, Dinner
Street Parking
Waiter Service
Free Wi-Fi
Wheelchair Accessible
TV
Gender-neutral restrooms
Open to All
No Outdoor Seating
No Alcohol
Dogs Not Allowed
No Bike Parking
Show Less"
https://www.yelp.com/biz/2nd-chance-soul-food-fish-fry-inglewood?osq=Restaurants,2nd Chance Soul Food Fish Fry,"1300 Centinela Ave Ste 102 Inglewood, CA 90302",4 star rating,46 reviews,,"Soul Food, Seafood","Mon
Closed
Tue
Closed
Wed
12:00 PM - 8:00 PM
Thu
12:00 PM - 8:00 PM
Closed now
Fri
12:00 PM - 8:00 PM
Sat
12:00 PM - 8:00 PM
Sun
12:00 PM - 8:00 PM","Amenities and More
Health ScoreA
Offers Takeout
No Reservations
Accepts Credit Cards
Black-owned
No Outdoor Seating
Offers Catering
No Waiter Service
No Wi-Fi
No Happy Hour
No Alcohol
No Drive-Thru
No Heated Outdoor Seating
No Covered Outdoor Seating
No Private Dining
Show Less"
https://www.yelp.com/biz/lalas-argentine-grill-los-angeles-3?osq=Restaurants,Lala's Argentine Grill,"7229 Melrose Ave Los Angeles, CA 90046",4 star rating,2251 reviews,$$,"Argentine, Steakhouses, Seafood","Mon
11:00 AM - 11:00 PM
Tue
11:00 AM - 11:00 PM
Wed
11:00 AM - 11:00 PM
Thu
11:00 AM - 11:00 PM
Closed now
Fri
11:00 AM - 12:00 AM (Next day)
Sat
11:00 AM - 12:00 AM (Next day)
Sun
11:00 AM - 11:00 PM","Amenities and More
Health ScoreA
Takes Reservations
Offers Delivery
Offers Takeout
All staff fully vaccinated
Keto Options
Vegan Options
Many Vegetarian Options
Masks required
Staff wears masks
Accepts Credit Cards
Accepts Apple Pay
Accepts Android Pay
Accepts Cryptocurrency
Outdoor Seating
Casual, Classy
Moderate Noise
Casual Dress
Offers Catering
Good for Groups
Good For Kids
Good for Lunch, Dinner
Street Parking, Valet Parking
Waiter Service
Free Wi-Fi
Happy Hour Specials
Beer & Wine Only
Dogs Allowed
Wheelchair Accessible
Gender-neutral restrooms
Latinx-owned
Open to All
Heated Outdoor Seating
Covered Outdoor Seating
Private Dining
No Drive-Thru
No TV
Provides reusable tableware
No Bike Parking
Show Less"
https://www.yelp.com/biz/island-to-table-patty-hut-los-angeles?osq=Restaurants,Island To Table Patty Hut,"724 S Spring St Ste 105 Los angeles, CA 90014",4 star rating,81 reviews,,"Caribbean, Food Trucks, Bakeries","Mon
11:30 AM - 10:00 PM
Tue
11:30 AM - 10:00 PM
Wed
11:30 AM - 10:00 PM
Thu
11:30 AM - 10:00 PM
Closed now
Fri
11:30 AM - 10:00 PM
Sat
11:30 AM - 10:00 PM
Sun
11:30 AM - 10:00 PM","Amenities and More
Health ScoreA
Offers Delivery
Offers Takeout
No Reservations
Vegan Options
Masks required
Staff wears masks
Accepts Credit Cards
Accepts Apple Pay
Offers Catering
No Outdoor Seating
No Waiter Service
No Wi-Fi
No Happy Hour
No Alcohol
Not Wheelchair Accessible
No TV
Bike Parking
Show Less"
https://www.yelp.com/biz/down-to-fry-burbank-2?osq=Restaurants,Down to Fry,"321 E Alameda Ave Ste H Burbank, CA 91502",4.5 star rating,161 reviews,$$,"Desserts, Fast Food, American (Traditional)","Mon
11:00 AM - 12:00 AM (Next day)
Tue
11:00 AM - 12:00 AM (Next day)
Wed
11:00 AM - 12:00 AM (Next day)
Thu
11:00 AM - 12:00 AM (Next day)
Open now
Fri
11:00 AM - 12:00 AM (Next day)
Sat
11:00 AM - 12:00 AM (Next day)
Sun
11:00 AM - 12:00 AM (Next day)","Amenities and More
Health ScoreA
Offers Delivery
Offers Takeout
No Reservations
Staff wears masks
Masks required
Accepts Credit Cards
Outdoor Seating
Moderate Noise
Offers Catering
Street Parking, Private Lot Parking
Free Wi-Fi
Wheelchair Accessible
TV
Covered Outdoor Seating
Private Dining
No Waiter Service
No Alcohol
No Drive-Thru
No Heated Outdoor Seating
Bike Parking
Compostable containers available
Show Less"
https://www.yelp.com/biz/dr-sandwich-beverly-hills?osq=Restaurants,Dr.Sandwich,"9113 W Olympic Blvd Beverly Hills, CA 90212",3.5 star rating,489 reviews,$$,"Mediterranean, Sandwiches, Kosher","Mon
11:00 AM - 9:30 PM
Tue
11:00 AM - 9:30 PM
Wed
11:00 AM - 9:30 PM
Thu
11:00 AM - 9:30 PM
Closed now
Fri
11:00 AM - 2:30 PM
Sat
Closed
Sun
11:00 AM - 9:30 PM","Amenities and More
Takes Reservations
Offers Delivery
Offers Takeout
Vegan Options
Many Vegetarian Options
Accepts Credit Cards
Accepts Android Pay
Accepts Apple Pay
Accepts Cryptocurrency
Outdoor Seating
Casual
Loud
Offers Catering
Good for Groups
Good For Kids
Good for Lunch, Dinner
Street Parking, Private Lot Parking, Valet Parking
Free Wi-Fi
Wheelchair Accessible
Gender-neutral restrooms
Offers Military Discount
No Waiter Service
No Happy Hour
No Alcohol
Dogs Not Allowed
No TV
Bike Parking
Show Less"
